dataset,dataset_rows,columns,trade_count,workers,speedup,real,user,system,memory_usage_mb
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,S,1.00,2577.81 ± 27.57,2037.83 ± 17.43,420.68 ± 7.50,1056 ± 26.46
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,1,1.01,2542.28 ± 43.96,2006.77 ± 31.70,383.28 ± 4.19,1192 ± 23.67
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,2,1.85,1391.80 ± 25.73,2069.22 ± 24.28,468.81 ± 4.00,1577 ± 28.97
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,3,2.52,1022.66 ± 16.26,2114.43 ± 19.11,515.31 ± 5.21,1993 ± 27.19
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,4,3.06,842.63 ± 29.41,2153.54 ± 19.97,548.10 ± 4.97,2423 ± 13.39
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,5,3.63,709.95 ± 23.81,2186.59 ± 10.82,580.02 ± 4.97,2843 ± 4.26
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,6,3.84,671.77 ± 26.63,2210.57 ± 7.21,612.45 ± 4.49,3292 ± 2.16
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,7,4.18,617.39 ± 28.28,2245.29 ± 10.66,635.07 ± 3.79,3756 ± 1.31
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,8,4.30,599.12 ± 24.50,2249.47 ± 9.82,666.14 ± 7.19,4225 ± 3.65
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,9,4.45,579.12 ± 21.91,2290.80 ± 16.17,674.96 ± 7.12,4640 ± 0.69
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,10,4.51,571.42 ± 14.36,2299.32 ± 10.67,681.82 ± 5.69,5105 ± 1.30
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,11,4.66,552.94 ± 14.92,2316.17 ± 9.88,695.41 ± 6.23,5535 ± 2.66
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,12,4.65,554.22 ± 17.36,2333.11 ± 15.31,700.38 ± 6.73,5986 ± 1.38
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,13,4.72,545.68 ± 19.41,2358.86 ± 15.85,715.91 ± 7.41,6454 ± 1.38
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,14,4.81,535.96 ± 15.07,2382.01 ± 13.12,712.07 ± 6.96,6878 ± 1.27
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,15,4.79,537.71 ± 13.91,2397.88 ± 10.56,717.12 ± 6.61,7313 ± 1.68
TradesReport_Coll_Americas_Daily_2016_04_29.zip:TradesReport_Coll_Americas_Daily_2016_04_29.csv,349309,41,312825,16,4.78,539.12 ± 14.88,2416.33 ± 16.06,722.39 ± 7.86,7761 ± 1.03
